config,sl,tp,ROI,Vol,Sharpe,MaxDD,WinRate,final_capital,n_days
VAL_SL1_TP4,0.01,0.04,12.560375126008541,0.20942643438161848,12.819363957742437,-0.027109339334098537,0.8266129032258065,134714.4818360629,249
VAL_SL1_TP6,0.01,0.06,14.910780722408457,0.22435207915888522,12.71240241824845,-0.030488814263644803,0.8104838709677419,158064.40166359776,249
VAL_SL1_TP10,0.01,0.1,8.05736984037898,0.21343740914833148,10.642574413681352,-0.038207992954310876,0.782258064516129,89979.7294327055,249
VAL_SL1_TP2,0.01,0.02,5.560957265202726,0.1874989938643743,10.32595840637385,-0.03942436045788911,0.7701612903225806,65179.314739982285,249
VAL_SL2_TP6,0.02,0.06,9.526607805767199,0.23685162591727674,10.263204820619109,-0.06328142981204221,0.782258064516129,104575.75862525518,249
VAL_SL2_TP4,0.02,0.04,8.136545407437998,0.22339724188983157,10.217623809307259,-0.040457149475014886,0.7701612903225806,90766.29288624703,249
VAL_SL3_TP6,0.03,0.06,9.260531270438303,0.2494310032743849,9.652580221949963,-0.08299637917927405,0.7620967741935484,101932.44217917706,249
VAL_SL3_TP4,0.03,0.04,7.842790003883605,0.2339513763345063,9.623553186739509,-0.05376208939721083,0.7782258064516129,87848.00289731649,249
VAL_SL5_TP6,0.05,0.06,7.83958125340215,0.2721650727246682,8.306473873049082,-0.12404705590957787,0.7419354838709677,87816.12581763147,249
VAL_SL2_TP10,0.02,0.1,4.87492163287021,0.22945578295210747,7.982736542041848,-0.08037205109211132,0.7096774193548387,58363.947622778214,249
VAL_SL3_TP10,0.03,0.1,4.240732594787128,0.24608407965412588,6.984468388852865,-0.09361673991537423,0.7056451612903226,52063.64642479647,249
VAL_SL5_TP10,0.05,0.1,3.3940825194077817,0.27284412760640775,5.664787419095614,-0.18350267648391683,0.6774193548387096,43652.66773568668,249
