,Ngày bắt đầu,Ngày kết thúc,Giá trị cuối,ROI (%),"Biến động (năm, %)",Sharpe,Sortino,MaxDrawdown (%),Tỷ lệ phiên thắng (%),Số ngày
TestSet,2025-02-06,2025-10-02,1169993.2623004357,16.92917350017553,14.988754512202524,1.6686016753272026,2.1033040144335637,-7.433818123678004,60.0,165
StressTest,2025-03-26,2025-04-15,1008343.239926688,-0.30232626429061993,33.88884348148541,-0.005698781636428727,-0.008435105119857228,-5.814072929126191,35.714285714285715,14
