,0
Start,2025-03-26
End,2025-04-15
Initial,1011400.9706983996
Final,1008343.239926688
ROI,-0.0030232626429061993
Vol(ann),0.3527262643003517
Sharpe,-0.005896382502235532
Sortino,-0.009083959359846246
MaxDD,-0.058140729291261906
WinRate,0.38461538461538464
BenchFinal,966217.8122103277
BenchROI,-0.07412769872331426
ExcessROI,0.07110443608040806
