ticker,liquidity_20d,momentum_90d,momentum_252d,FA_flag,liquidity_rank,momentum_rank,score
VIX,1456157529690.0,1.8213176194491378,0.0,1,0.9902912621359223,0.9975728155339806,0.9939320388349515
CII,752922333884.2542,1.0230960161127682,0.0,1,0.970873786407767,0.9854368932038835,0.9781553398058253
SSI,2146068539080.0,0.6882845188284519,0.0,1,0.9975728155339806,0.9490291262135923,0.9733009708737864
GEX,491953256120.8075,0.9740608405551061,0.0,1,0.9466019417475728,0.9830097087378641,0.9648058252427185
VPB,1533244194595.0,0.6388140161725067,0.0,1,0.9927184466019418,0.9271844660194175,0.9599514563106797
VIC,401827872725.0,0.9197994987468672,0.0,1,0.9320388349514563,0.9781553398058253,0.9550970873786409
VHM,430709734940.0,0.7534482758620689,0.0,1,0.941747572815534,0.9660194174757282,0.9538834951456311
SHB,1720837967070.0,0.5194373596219111,0.0,1,0.9951456310679612,0.8956310679611651,0.9453883495145632
DXG,587926857607.5,0.6509218963206693,0.0,1,0.9538834951456311,0.9344660194174758,0.9441747572815534
DIG,626432463010.0,0.62311850752597,0.0,1,0.9611650485436893,0.9247572815533981,0.9429611650485437
VND,932487407255.0,0.5205549556694595,0.0,1,0.9805825242718447,0.9004854368932039,0.9405339805825244
VSC,320479830165.0,0.7412526432215125,0.0,1,0.912621359223301,0.9611650485436893,0.9368932038834952
PDR,653714543947.5,0.5107565868987187,0.0,1,0.9635922330097088,0.8932038834951457,0.9283980582524272
MBB,1079028871770.0,0.41736245069147615,0.0,1,0.9854368932038835,0.8567961165048543,0.9211165048543689
NKG,373046461550.0,0.5252918287937742,0.0,1,0.9247572815533981,0.9029126213592233,0.9138349514563107
ANV,120767337680.0,0.870748299319728,0.0,1,0.8543689320388349,0.970873786407767,0.912621359223301
BSR,373650897957.5,0.4444444444444444,0.0,1,0.9271844660194175,0.8737864077669902,0.9004854368932038
VJC,311814715665.0,0.5076923076923077,0.0,1,0.9101941747572816,0.8883495145631068,0.8992718446601942
KBC,439465361277.5,0.41015625,0.0,1,0.9441747572815534,0.8519417475728155,0.8980582524271845
CTS,114792323915.0,0.6623502591006283,0.0,1,0.8495145631067961,0.9393203883495146,0.8944174757281553
ORS,115553634217.5,0.6442199775533108,0.0,1,0.8519417475728155,0.9320388349514563,0.8919902912621359
VDS,129709078772.5,0.6121150263907198,0.0,1,0.8592233009708737,0.9199029126213593,0.8895631067961165
TPB,793512949530.0,0.3527272727272728,0.0,1,0.9757281553398058,0.7961165048543689,0.8859223300970873
STB,665232967920.0,0.35626535626535616,0.0,1,0.9660194174757282,0.8058252427184466,0.8859223300970873
HPG,2499510313412.5,0.3423099065454016,0.0,1,1.0,0.7718446601941747,0.8859223300970873
HDC,180448196447.5,0.48109243697479,0.0,1,0.883495145631068,0.8810679611650486,0.8822815533980584
DXS,57557059702.5,0.9294294294294294,0.0,1,0.7839805825242718,0.9805825242718447,0.8822815533980582
HDB,533603133727.5,0.35730337078651675,0.0,1,0.9514563106796117,0.808252427184466,0.8798543689320388
MSN,913854157850.0,0.3359872611464969,0.0,1,0.9781553398058253,0.7645631067961165,0.8713592233009708
SCR,67738442433.5,0.6610169491525424,0.0,1,0.8033980582524272,0.9368932038834952,0.8701456310679612
GMD,250760875265.0,0.36459203752122704,0.0,1,0.9077669902912622,0.8179611650485437,0.8628640776699029
HDG,168037746795.0,0.4060343267535067,0.0,1,0.8762135922330098,0.8446601941747572,0.8604368932038835
VCG,349010606827.5,0.3550841572987071,0.0,1,0.9174757281553398,0.8033980582524272,0.8604368932038835
MSB,367137410230.8512,0.3500540021600864,0.0,1,0.9223300970873787,0.7888349514563107,0.8555825242718447
TAL,30189641045.0,0.893739210090547,0.0,1,0.7330097087378641,0.9757281553398058,0.854368932038835
LDG,22582329902.0,1.3429951690821258,0.0,1,0.7063106796116505,0.9951456310679612,0.8507281553398058
TCH,217822426160.0,0.35766371653555695,0.0,1,0.8907766990291263,0.8106796116504854,0.8507281553398058
DPG,100553047272.5,0.44089578215678094,0.0,1,0.8325242718446602,0.8689320388349514,0.8507281553398058
EVG,38080213851.0,0.6775777414075286,0.0,1,0.7548543689320388,0.9466019417475728,0.8507281553398058
TCB,983193498732.5,0.28428093645484953,0.0,1,0.9830097087378641,0.7038834951456311,0.8434466019417476
EVF,172037252022.5,0.3539553752535496,0.0,1,0.8786407766990292,0.7985436893203883,0.8385922330097088
EIB,418561028892.5,0.31486146095717893,0.0,1,0.9344660194174758,0.7354368932038835,0.8349514563106797
CTG,616242076345.0,0.28805031446540874,0.0,1,0.9563106796116505,0.7135922330097088,0.8349514563106797
LPB,158725459555.0,0.3473545128770148,0.0,1,0.8737864077669902,0.7839805825242718,0.828883495145631
NVL,336655098967.5,0.3181818181818181,0.0,1,0.9150485436893204,0.7402912621359223,0.8276699029126213
PAN,65090678346.948,0.4080576415668764,0.0,1,0.8009708737864077,0.8470873786407767,0.8240291262135921
